title,title_link,image,price,size,ram,weight,Additional specs,color
"Lenovo Legion Y540 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics) Y540-15IRH-PG0 Thin and Light Laptop (15.6 inch, Raven Black)",https://www.flipkart.com/lenovo-legion-y540-core-i5-9th-gen-8-gb-512-gb-ssd-windows-10-home-4-graphics-y540-15irh-pg0-thin-light-laptop/p/itmeb43daaf894f2,https://rukminim1.flixcart.com/image/612/612/k9pynww0/computer/y/k/z/lenovo-legion-y540-gaming-laptop-original-imafrggru5fzzgyq.jpeg?q=70,"₹69,999",15.6 inch,8 GB,2.1 kg,,Raven Black
"HP 430 G8 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Pro) ProBook 430 G8 Business Laptop (13.3 inch, Pike Silver)",https://www.flipkart.com/hp-430-g8-core-i5-11th-gen-8-gb-512-gb-ssd-windows-10-pro-probook-business-laptop/p/itma14d49916118f?pid=COMFZZRXSZTV3YDH&lid=LSTCOMFZZRXSZTV3YDHIRQVYP&marketplace=FLIPKART&q=hp+probook+440+g8+i5&store=6bo%2Fb5g&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_14_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_14_na_na_ps&fm=Search&iid=d50c4d22-b977-4647-bd98-3cfb70c57542.COMFZZRXSZTV3YDH.SEARCH&ppt=sp&ppn=sp&ssid=3nv7r932rk0000001656260709064&qH=f65d5c2c53268b8d,https://rukminim1.flixcart.com/image/612/612/kkoc70w0/computer/n/v/b/probook-430-g8-notebook-pc-business-laptop-hp-original-imafzyry26deagdp.jpeg?q=70,"₹93,000",13.3 inch,8 GB,2.15 kg,,Pike Silver
"DELL Inspiron 15 7000 Core i7 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1050Ti) 7567 Gaming Laptop (15.6 inch, Matt Black, 2.62 kg, With MS Office)",https://www.flipkart.com/dell-inspiron-15-7000-core-i7-7th-gen-8-gb-1-tb-hdd-128-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1050ti-7567-gaming-laptop/p/itmf4uv9xfjzaz4h,https://rukminim1.flixcart.com/image/612/612/j1nvwcw0/computer/v/a/h/dell-inspiron-7567-notebook-original-imaet6p5eymqkbyj.jpeg?q=70,"₹77,990",15.6 inch,8 GB,2.62 kg,With MS Office,Matt Black
"MSI Pulse GL66 Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 3070) Pulse GL66 11UGK-431IN Gaming Laptop (15.6 Inch, Gray, 2.25 kg)",https://www.flipkart.com/msi-pulse-gl66-core-i7-11th-gen-16-gb-1-tb-ssd-windows-10-home-8-gb-graphics-nvidia-geforce-rtx-3070-11ugk-431in-gaming-laptop/p/itm9eaffcc31a058?pid=COMG6E8PV7JC3SMM&lid=LSTCOMG6E8PV7JC3SMMVHYKEI&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_6&otracker=browse&iid=3ea6669f-6fc2-4b36-b95f-4a1e36ee2002.COMG6E8PV7JC3SMM.SEARCH&ssid=32gdfeug1s0000001656261153535,https://rukminim1.flixcart.com/image/612/612/ky3b0y80/computer/e/g/j/pulse-gl66-12uek-gaming-laptop-msi-original-imagaepqpz8ufhzk.jpeg?q=70,"₹1,09,990",15.6 Inch,16 GB,2.25 kg,,Gray
"MSI GP65 Leopard Core i7 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 2060/144 Hz) GP65 Leopard 10SEK-830IN Gaming Laptop  (15.6 inch, Black&Silver, 2.33 kg)",https://www.flipkart.com/msi-gp65-leopard-core-i7-10th-gen-16-gb-1-tb-hdd-256-gb-ssd-windows-10-home-6-graphics-nvidia-geforce-rtx-2060-144-hz-10sek-830in-gaming-laptop/p/itm34d2dc3928e2b?pid=COMGFYZ3AYJAZANF&lid=LSTCOMGFYZ3AYJAZANFHXCW0V&marketplace=FLIPKART&q=MSI+G65+leopard&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=b2a4ec81-f556-49dc-b930-8a8944788073.COMGFYZ3AYJAZANF.SEARCH&ppt=pp&ppn=pp&ssid=9ubh7mvrgg0000001656261234973&qH=fcedf6c85a4e6c73,https://rukminim1.flixcart.com/image/612/612/kmxsakw0/computer/f/g/t/na-laptop-msi-original-imagfq9cthg4wxwh.jpeg?q=70,"₹1,09,990",15.6 inch,16 GB,2.33 kg,,Black&Silver
"acer Predator Helios 300 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070) PH315-55 Gaming Laptop (15.6 Inch, Abyssal Black, 2.6 KG)",https://www.flipkart.com/acer-predator-helios-300-core-i7-12th-gen-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-3070-ph315-55-gaming-laptop/p/itmbd51f7a90d083?pid=COMGENKVHKCFMEHH&lid=LSTCOMGENKVHKCFMEHHKFEKB9&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_3&otracker=browse&iid=6af15749-610b-4963-a4a4-d6797be3d881.COMGENKVHKCFMEHH.SEARCH&ssid=3b5cg47dxc0000001656261361957,https://rukminim1.flixcart.com/image/612/612/l4ei1e80/computer/0/t/0/-original-imagfbayfqxfz5hm.jpeg?q=70,"₹1,74,990",15.6 Inch,16 GB,2.6 KG,,Abyssal Black
"MSI GP66 Leopard Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 3070/240 Hz) GP66 Leopard 11UG Gaming Laptop  (15.6 inches, Black, 2.9 kg)",https://www.flipkart.com/msi-gp66-leopard-core-i7-11th-gen-16-gb-1-tb-ssd-windows-10-home-8-gb-graphics-nvidia-geforce-rtx-3070-240-hz-11ug-gaming-laptop/p/itm35c0e68298bbf,https://rukminim1.flixcart.com/image/612/612/l1dwknk0/computer/i/n/i/gp66-leopard-11ug-gaming-laptop-msi-original-imagcyzguqvybtv5.jpeg?q=70,"₹1,49,990",15.6 inches,16 GB,2.9 kg,,Black
"DELL Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti/120 Hz) G15-5511 Gaming Laptop  (15.6 inch, Dark Shadow Grey, 2.65 Kg, With MS Office)",https://www.flipkart.com/dell-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-ti-120-hz-g15-5511-gaming-laptop/p/itmfc8ea0f8410d8,https://rukminim1.flixcart.com/image/612/612/kzrbiq80/computer/z/p/k/g15-5511-gaming-laptop-dell-original-imagbpb23gfh8er5.jpeg?q=70,"₹85,990",15.6 inch,16 GB,2.65 Kg,With MS Office,Dark Shadow Grey
"Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) 15ARH05 Gaming Laptop (15.6 inch, Onyx Black, 2.2 kg)",https://www.flipkart.com/lenovo-ideapad-gaming-3-ryzen-5-hexa-core-4600h-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-120-hz-15arh05-laptop/p/itm5bebf27dba264,https://rukminim1.flixcart.com/image/612/612/kk2wl8w0/computer/f/k/b/na-gaming-laptop-lenovo-original-imafzgdkvx9guy8q.jpeg?q=70,"₹63,990",15.6 inch,8 GB,2.2 kg,,Onyx Black
"HP Omen Ryzen 7 Octa Core 4800H - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti/144 Hz) 15-en0501AX Gaming Laptop (15.6 inch, Mica Silver, 2.37 kg)",https://www.flipkart.com/hp-omen-ryzen-7-octa-core-4800h-16-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-ti-144-hz-15-en0501ax-gaming-laptop/p/itm15e9f72d4f1d8,https://rukminim1.flixcart.com/image/612/612/kctf0cw0/computer/y/n/n/hp-na-gaming-laptop-original-imaftv6nyfyymt8z.jpeg?q=70,"₹89,990",15.6 inch,16 GB,2.37 kg,,Mica Silver
